0,1,2,3,4,5,6,7,8,9
328.755527163121,377.3311852285724,344.9160813784978,518.111728504813,421.816122479462,456.96246415642986,376.7044335324113,244.6323945230735,354.74542102194414,
142.7836330532372,177.00515143524154,243.15929247801284,182.16817270974934,247.70573540257038,141.57646807241372,208.66331183633696,221.1189563573954,232.3764242104096,191.61652259110647
316.34887620141586,167.8020049638895,287.38047116185896,257.65986282245706,303.76043829526577,331.70777074369005,273.0751543486944,240.7400930274338,281.148235020043,256.2977661465676
186.7474823277709,208.4033384839298,167.15782525481765,253.12648359188077,279.53161920036393,244.19656026203955,199.64661621590875,199.06449827839427,237.17080630794737,
153.35224353638264,182.47828549602193,180.12438037018435,219.30910058769825,200.78706687346937,150.63948947888488,193.91840626764906,141.88528641253217,,
184.2699551177023,213.6507218925019,218.67607809217867,202.86229869227645,255.27052048726154,233.1299211748816,265.30920246659343,273.34253981467344,211.47719180611685,203.42214104936784
146.40054606589396,151.71540865039015,159.5019063022393,156.62798001418383,169.99983463518367,249.53127465924612,196.7582951544648,192.73103341338833,,
288.739674567458,387.4481086489278,482.15438262755947,356.1294146579887,,,,,,
190.2829600397786,436.17024362630536,337.47622650588767,178.86297911292556,246.84163671942508,,,,,
242.24113305194942,254.34583803946254,159.71429147467052,204.9939763420633,208.3153910313268,280.7533441371202,276.60824480807923,194.95283820575713,243.46702376482153,279.20213447060763
238.06399085864086,222.82885742312027,194.88337118597096,170.18101439866285,297.5319651150673,232.3543732297686,295.42947266439575,222.69035118071855,154.95376726557413,244.98034875958598
182.7606033869577,203.5467598533259,253.0961692935419,337.3846385616859,248.88560802819032,204.74693313908097,223.13336233489696,,,
