0,1,2,3
402.12593284813715,692.0290320379593,485.2939737353679,410.78559270765453
925.1643605093212,866.0583303205082,784.0145641613924,772.4079682874127
1081.6248148551294,1521.73986643963,1984.5152262079966,2207.4671599430358
553.5726159756509,796.3859681003275,826.8080157570851,953.1701392475062
1017.6601707015541,1069.9448788390214,764.0895258050434,740.2491414876038
371.89954188411167,384.2263386719826,393.9534375453204,413.1153625189548
376.3829756118031,414.9083589061164,749.9822697148039,777.6553361103407
1060.6059846831304,914.8253792632253,1134.136397592468,1600.6053507382715
598.7705342514168,717.7757859390629,549.5584922971555,681.2544754886868
1583.1543092304578,2216.444976625772,2783.553336590934,
1885.782878647767,1079.221168798941,1144.4460943791773,1864.7521965083777
471.20102704637384,849.2007232660447,633.6033917046663,610.2630403687205
310.65280429185304,303.55398066675974,376.4610050765868,173.78141591132245
700.7182946464255,802.8562311583281,476.7561021055876,
2025.4034125876235,1943.6903718896544,681.8986762835937,679.9396531674836
1570.1572519859344,1262.4624930833336,1503.8680521903602,1503.2756103650458
595.3277617894126,974.51531661428,427.2782048958895,488.884560938874
