task,within_subj_variance,btw_subj_variance,mean,r_ceiling
crowding,0.015011493206876735,0.03383646174943417,0.3601406772419643,0.8998941093394338
vernier,0.1141370415967074,0.8718428326075504,-0.8036489743909395,0.9370550235727255
acuity,0.0021991469529526633,0.006139938205766846,-0.4982844388289474,0.8358512205109391
rsvp,0.039683395691913384,0.05297373819642062,3.1375810999279476,0.6258037259280835
reading,0.010813980603590774,0.025537691400904526,2.3931766610604024,0.7879367013293128
V1,0.0005555799137606668,0.00722869587864624,3.4488543696677523,0.9623934914081999
V2,0.0005053170336395177,0.004017824579430291,3.432387765605678,0.9405140466696892
V3,0.0019971306898761997,0.005033304952776413,3.3152490543154998,0.8462992356205064
V4,0.004002603108864386,0.010480193987766903,2.947783672521355,0.8368126448108446
crowding_Ecc5_RL,0.0043236850699796235,0.017300299302223092,0.008261060344076546,0.9143950522320236
crowding_Ecc10_RL,0.003429071082316095,0.014615800918548803,0.39117693935057857,0.8809929342741095
